q torque X Z vX vZ pasEffectue 
0.080646 2966.594300 0.001650 -0.022804 0.004017 -0.040040 0
0.077904 3111.897147 0.001650 -0.022804 0.004017 -0.040053 0
0.077606 3124.461028 0.001611 -0.022517 0.003909 -0.038449 0
0.077904 3111.897147 0.001650 -0.022804 0.004017 -0.040053 0
0.080646 2966.594300 0.001611 -0.022517 0.003909 -0.038431 0
0.080646 2966.594300 0.001611 -0.022517 0.003909 -0.038431 0
0.077904 3111.897147 0.001690 -0.023062 0.004055 -0.038519 0
0.080646 2966.594300 0.001611 -0.022517 0.003909 -0.038431 0
0.080814 2953.774834 0.001690 -0.023062 0.004055 -0.038501 0
0.080814 2953.774834 0.001690 -0.023062 0.004055 -0.038501 0
0.080646 2966.594300 0.001650 -0.022804 0.004017 -0.040040 0
0.080814 2953.774834 0.001730 -0.023342 0.004141 -0.040128 0
0.077904 3111.897147 0.001650 -0.022804 0.004017 -0.040053 0
0.078108 3099.745984 0.001730 -0.023342 0.004141 -0.040142 0
0.077904 3111.897147 0.001650 -0.022804 0.004017 -0.040053 0
0.078108 3099.745984 0.001730 -0.023342 0.004141 -0.040142 0
0.078108 3099.745984 0.001730 -0.023342 0.004141 -0.040142 0
0.077904 3111.897147 0.001690 -0.023062 0.004055 -0.038519 0
0.080814 2953.774834 0.001690 -0.023062 0.004055 -0.038501 0
0.078108 3099.745984 0.001770 -0.023592 0.004165 -0.038619 0
0.080814 2953.774834 0.001690 -0.023062 0.004055 -0.038501 0
0.080872 2944.487758 0.001770 -0.023592 0.004165 -0.038601 0
0.080872 2944.487758 0.001770 -0.023592 0.004165 -0.038601 0
0.080814 2953.774834 0.001730 -0.023342 0.004141 -0.040128 0
0.078108 3099.745984 0.001730 -0.023342 0.004141 -0.040142 0
0.080872 2944.487758 0.001810 -0.023865 0.004227 -0.040257 0
0.078108 3099.745984 0.001730 -0.023342 0.004141 -0.040142 0
0.078133 3087.978615 0.001810 -0.023865 0.004227 -0.040271 0
0.078108 3099.745984 0.001730 -0.023342 0.004141 -0.040142 0
0.078133 3087.978615 0.001810 -0.023865 0.004227 -0.040271 0
0.078108 3099.745984 0.001770 -0.023592 0.004165 -0.038619 0
0.078133 3087.978615 0.001850 -0.024110 0.004237 -0.038767 0
0.080872 2944.487758 0.001770 -0.023592 0.004165 -0.038601 0
0.080751 2938.207608 0.001850 -0.024110 0.004237 -0.038750 0
0.080872 2944.487758 0.001770 -0.023592 0.004165 -0.038601 0
0.080751 2938.207608 0.001850 -0.024110 0.004237 -0.038750 0
0.080751 2938.207608 0.001850 -0.024110 0.004237 -0.038750 0
0.080872 2944.487758 0.001810 -0.023865 0.004227 -0.040257 0
0.078133 3087.978615 0.001810 -0.023865 0.004227 -0.040271 0
0.080751 2938.207608 0.001890 -0.024377 0.004275 -0.040443 0
0.078133 3087.978615 0.001810 -0.023865 0.004227 -0.040271 0
0.077921 3076.644436 0.001890 -0.024377 0.004275 -0.040457 0
0.077921 3076.644436 0.001890 -0.024377 0.004275 -0.040457 0
0.078133 3087.978615 0.001850 -0.024110 0.004237 -0.038767 0
0.080751 2938.207608 0.001850 -0.024110 0.004237 -0.038750 0
0.077921 3076.644436 0.001929 -0.024617 0.004273 -0.038978 0
0.080751 2938.207608 0.001850 -0.024110 0.004237 -0.038750 0
0.080415 2934.266396 0.001929 -0.024617 0.004273 -0.038960 0
0.080751 2938.207608 0.001850 -0.024110 0.004237 -0.038750 0
0.080415 2934.266396 0.001929 -0.024617 0.004273 -0.038960 0
0.080751 2938.207608 0.001890 -0.024377 0.004275 -0.040443 0
0.080415 2934.266396 0.001967 -0.024880 0.004287 -0.040694 0
0.077921 3076.644436 0.001890 -0.024377 0.004275 -0.040457 0
0.077458 3065.882457 0.001967 -0.024880 0.004287 -0.040709 0
0.077921 3076.644436 0.001890 -0.024377 0.004275 -0.040457 0
0.077458 3065.882457 0.001967 -0.024880 0.004287 -0.040709 0
0.077458 3065.882457 0.001967 -0.024880 0.004287 -0.040709 0
0.077921 3076.644436 0.001929 -0.024617 0.004273 -0.038978 0
0.080415 2934.266396 0.001929 -0.024617 0.004273 -0.038960 0
0.077458 3065.882457 0.002005 -0.025116 0.004276 -0.039255 0
0.080415 2934.266396 0.001929 -0.024617 0.004273 -0.038960 0
0.079869 2931.942313 0.002005 -0.025116 0.004276 -0.039238 0
0.079869 2931.942313 0.002005 -0.025116 0.004276 -0.039238 0
0.080415 2934.266396 0.001967 -0.024880 0.004287 -0.040694 0
0.077458 3065.882457 0.001967 -0.024880 0.004287 -0.040709 0
0.079869 2931.942313 0.002042 -0.025377 0.004271 -0.041013 0
0.077458 3065.882457 0.001967 -0.024880 0.004287 -0.040709 0
0.076770 3055.855868 0.002042 -0.025377 0.004271 -0.041028 0
0.077458 3065.882457 0.001967 -0.024880 0.004287 -0.040709 0
0.076770 3055.855868 0.002042 -0.025377 0.004271 -0.041028 0
0.077458 3065.882457 0.002005 -0.025116 0.004276 -0.039255 0
0.076770 3055.855868 0.002079 -0.025610 0.004255 -0.039596 0
0.079869 2931.942313 0.002005 -0.025116 0.004276 -0.039238 0
0.079150 2930.503106 0.002079 -0.025610 0.004255 -0.039579 0
0.079869 2931.942313 0.002005 -0.025116 0.004276 -0.039238 0
0.079150 2930.503106 0.002079 -0.025610 0.004255 -0.039579 0
0.079150 2930.503106 0.002079 -0.025610 0.004255 -0.039579 0
0.079869 2931.942313 0.002042 -0.025377 0.004271 -0.041013 0
0.076770 3055.855868 0.002042 -0.025377 0.004271 -0.041028 0
0.079150 2930.503106 0.002114 -0.025868 0.004234 -0.041392 0
0.076770 3055.855868 0.002042 -0.025377 0.004271 -0.041028 0
0.075917 3046.667205 0.002114 -0.025868 0.004234 -0.041408 0
0.076770 3055.855868 0.002079 -0.025610 0.004255 -0.039596 0
0.075917 3046.667205 0.002114 -0.025868 0.004234 -0.041408 0
0.079150 2930.503106 0.002079 -0.025610 0.004255 -0.039579 0
0.079150 2930.503106 0.002079 -0.025610 0.004255 -0.039579 0
0.078321 2929.229090 0.002148 -0.026100 0.004216 -0.039974 0
0.079150 2930.503106 0.002079 -0.025610 0.004255 -0.039579 0
0.078321 2929.229090 0.002148 -0.026100 0.004216 -0.039974 0
0.079150 2930.503106 0.002114 -0.025868 0.004234 -0.041392 0
0.075917 3046.667205 0.002114 -0.025868 0.004234 -0.041408 0
0.074975 3038.300309 0.002182 -0.026358 0.004185 -0.041836 0
0.075917 3046.667205 0.002114 -0.025868 0.004234 -0.041408 0
0.074975 3038.300309 0.002182 -0.026358 0.004185 -0.041836 0
0.074975 3038.300309 0.002182 -0.026358 0.004185 -0.041836 0
0.075917 3046.667205 0.002148 -0.026100 0.004216 -0.039991 0
0.078321 2929.229090 0.002148 -0.026100 0.004216 -0.039974 0
0.074975 3038.300309 0.002214 -0.026588 0.004171 -0.040425 0
0.078321 2929.229090 0.002148 -0.026100 0.004216 -0.039974 0
0.077448 2927.445908 0.002214 -0.026588 0.004171 -0.040408 0
0.077448 2927.445908 0.002214 -0.026588 0.004171 -0.040408 0
0.074975 3038.300309 0.002182 -0.026358 0.004185 -0.041836 0
0.077448 2927.445908 0.002246 -0.026845 0.004134 -0.042278 0
0.074975 3038.300309 0.002182 -0.026358 0.004185 -0.041836 0
0.074016 3030.610538 0.002246 -0.026845 0.004134 -0.042295 0
0.074016 3030.610538 0.002246 -0.026845 0.004134 -0.042295 0
0.074975 3038.300309 0.002214 -0.026588 0.004171 -0.040425 0
0.077448 2927.445908 0.002214 -0.026588 0.004171 -0.040408 0
0.074016 3030.610538 0.002277 -0.027075 0.004126 -0.040880 0
0.077448 2927.445908 0.002214 -0.026588 0.004171 -0.040408 0
0.076591 2924.579997 0.002277 -0.027075 0.004126 -0.040864 0
0.076591 2924.579997 0.002277 -0.027075 0.004126 -0.040864 0
