Pseudo;SCIndex;PushName;angle;mass;height;StepIndex;Impulse;MaxForce;PerturbationDuration;StepFrame;EscapeTtb;EscapeDtb;EscapeMoS;MinTtb;MinMoS;MinDtb;MaxSpeed;MinCpred;CrossoverIndex;MinTtr;MaxTheta_trunk;MaxOmega_trunk;MaxLinMom_xf;MaxAngMom_yf;MaxAngMom_z;Max_KE;Max_lin_KE;Max_angle_KE;Final_CoM_x;Final_CoM_y
LEL1191A;0;PL180_1;180;70.9;1.69;0;12.866673407017618;49.196524309533565;0.645;1025;0;0;1000.0;1.4842096277630092;0.12707995650112666;0.13217680879121127;0.10823430186306988;-1987.6086440041324;0;6.693493273218506;0.0503137636858465;0.22837297939717824;7.66049254787418;2.50200825686604;0.19244199686723;0.874474076662138;0.8347094451825643;0.0001985149581636134;-0.000424226206943601;0.00097035588440697
LEL1191A;0;PL180_2;180;70.9;1.69;0;13.979886327637214;48.22486024313162;0.65;891;0;0;1000.0;1.269505016873302;0.12441239603318012;0.12682248779779026;0.12981973454715545;-174.89271912412445;0;8.506474490369065;0.04596763007448239;0.17987452071686894;9.21640468835938;2.18208842304987;0.156568742666323;0.897327229627391;1.1966863286460465;0.0033050829299426537;0.00532446138018283;0.00476006890655656
BAB0597A;0;PH180_1;180;68.2;1.74;2;31.257505650670865;88.45231780298302;0.73;1022;0.2319682115604423;0.07535105179453735;-0.025833840331260047;0.23792320400426228;-0.023857012955857203;0.07714817162413347;0.3242566102243285;-341.71555058930113;1.0;0.910418181183682;0.2711716527223553;1.478108357632743;38.5430018314726;4.57172453458516;2.07898895456376;6.38500081460537;7.125492058751832;1.4551896461999563;0.628737865330328;-0.112663934859419
BAB0597A;0;PH180_2;180;68.2;1.74;2;31.422434477043062;111.15890579622923;0.725;846;0.2705841915712281;0.11651744010930591;-0.0173034239602045;0.2783388763072053;-0.013850704601506598;0.11888303718805347;0.42711617854216355;-147124.66691129305;1.0;5.028376962552468;0.0554236333728786;-0.30540023251195075;45.2086977361409;3.82864667437053;1.84692988832423;8.01331999808019;12.49367564338898;0.18830482520287947;0.671397411268354;-0.124410423760469
BAB0597A;0;PM180_1;180;68.2;1.74;2;28.798605695351952;75.72323677522184;0.8200000000000001;782;0.19181071508376812;0.07456288511860534;-0.04616930149634752;0.19792969590092996;-0.04363517395517731;0.07666833198995633;0.38735133523537185;-569.9730922978334;1.0;8.013158602717134;0.04739162883003182;0.1907114960886587;53.0568475910118;4.44638044221149;1.37292374064774;6.36314062105847;10.29808344132209;0.0753499844214976;0.696577689990621;-0.122094752075106
BAB0597A;0;PM180_2;180;68.2;1.74;0;18.390322922667913;79.77270577936186;0.5650000000000001;1554;0;0;1000.0;0.753201958476432;0.08527040886823455;0.10085219637671439;0.21841940342894822;-444.01692133877657;0;2.7689242959082216;0.1330962612698527;-0.5275267506880162;14.866844062405;2.66176069178534;0.86598071402236;2.39967248711728;3.2667861918411982;0.15884943475171598;0.00873742133406719;0.00476110292219845
BAB0597A;0;PL180_1;180;68.2;1.74;0;10.447492160693448;51.76194972499573;0.48;1540;0;0;1000.0;1.0027145010793974;0.07866088221784277;0.09457163914501351;0.1379097950712814;-430.1324053127641;0;2.3631260367004647;0.07270592208634714;-0.6502235608880524;9.40151291104659;1.95825859811168;0.321837394796148;0.873736056948415;1.2903959419423148;0.13081234536211733;0.0149376276260655;-0.0158781028812436
BAB0597A;0;PL180_2;180;68.2;1.74;0;10.615096892196242;44.58681246412816;0.52;1304;0;0;1000.0;0.9963237267429319;0.09812852296478614;0.09892532960996034;0.15413924673740373;-6788.42510618524;0;3.031515288018009;0.10223336633323216;-0.5001213344851451;10.5261016411782;1.81481128461408;0.224154215556424;0.986823229451202;1.616920607376155;0.07208411751008512;-0.00384043707133097;0.00617992226179886
KUL0290A;0;PH180_1;180;76.1;1.8;2;32.492981690232185;109.21557480833955;0.75;1288;0.3155150820150253;0.12559402268363268;-0.0008502980759260165;0.32007734827767664;0.0009672358780716322;0.12760493074890214;0.40008899605969667;-3586.467742461435;1.0;1.5932669672231847;0.07662287436816108;-0.9601789449868635;39.5404319729979;3.35778510304193;-1.12776522707811;7.96282289437617;12.147088149822514;0.9705874277735506;0.677699385979621;0.131361089864317
KUL0290A;0;PH180_2;180;76.1;1.8;2;38.329908202588236;99.2847609072679;0.76;1054;0.33259287078740196;0.13438087230371623;0.006052567420796732;0.3388732252881374;0.008553316582959375;0.13633236679944083;0.4023108248918752;-3350.073659782456;1.0;2.6435645663696627;0.056576957645016746;-0.576319044274591;45.1786022352237;4.1409824766221;-1.77030003135997;7.76344440527378;12.398598038427389;0.6142435896967204;0.732925334916174;0.108542163329425
KUL0290A;0;PM180_1;180;76.1;1.8;2;22.652795243385036;81.46042302718051;0.655;569;0.7602107003904831;0.138393297545115;0.0805922567308082;0.6990705688309174;0.07950006099232017;0.1394168161379582;0.26109116327261;-217.96408839419362;-1.0;1.8537635898314342;0.071017980650224;-0.8284618469608526;25.0655610686483;3.76480212339369;0.450893408669726;3.03292751396696;5.23105218496864;0.03305202877215157;0.239239967308053;-0.0270046145839795
KUL0290A;0;PM180_2;180;76.1;1.8;2;22.173474790432707;77.04096236894996;0.6900000000000001;1066;0.4871200318524684;0.10058440283648568;0.03499369543458057;0.4859682177505572;0.035377454899131945;0.10214122683900716;0.30905483427951447;-1371.3638554296213;-1.0;1.0650615656670224;0.10310856200763627;1.413159079685923;24.680280153648;3.81200656939519;-0.476194574065561;4.23506323673379;7.350565059930063;0.041203407099949366;0.229389266132446;-0.0279531590874051
KUL0290A;0;PL180_1;180;76.1;1.8;0;11.775763639519344;49.71357729164949;0.525;868;0;0;1000.0;0.9727239734175147;0.059936876142316936;0.0626293761537808;0.14039239524028338;-96.16742940737082;0;2.743028780420782;0.05526500294794963;-0.5625602649618995;10.7003079421987;1.79727375571597;0.136992086505323;1.18223338734834;1.4431648240931745;0.1448770083057804;0.0913130445632233;-0.00772744878550391
