q0 qdot0 tau0 q1 qdot1 tau1 q2 qdot2 tau2 q3 qdot3 tau3 q4 qdot4 tau4 q5 qdot5 tau5 q6 qdot6 tau6 q7 qdot7 tau7 q8 qdot8 tau8 q9 qdot9 tau9 q10 qdot10 tau10 q11 qdot11 tau11 
0 0 -0.236394 8.58046 8.25051 27.2896 0 0 0 0 0 0 -4.01654 0 -13.8814 -4.33777 0 -21.2562 0 0 0 -0.0848023 0 -0.00321883 -3.91298 0 -22.5592 0.0115172 0 4.04552 0 0 0 3.98204 0 1.22918 
0 0 -0.235814 8.58046 8.25051 27.2877 0 0 0 0 0 0 -4.01654 0 -13.8864 -4.33777 0 -21.2658 0 0 0 -0.0848023 0 -0.00321883 -3.91298 0 -22.5765 0.0115172 0 4.03323 0 0 0 3.98204 0 1.22918 
0 0 -0.235814 8.58046 8.25051 27.2877 0 0 0 0 0 0 -4.01654 0 -13.8864 -4.33777 0 -21.2658 0 0 0 -0.0848023 0 -0.00321883 -3.91298 0 -22.5765 0.0115172 0 4.03323 0 0 0 3.98204 0 1.22918 
0 0 -0.235814 8.58046 8.25051 27.2877 0 0 0 0 0 0 -4.01654 0 -13.8864 -4.33777 0 -21.2658 0 0 0 -0.0848023 0 -0.00321883 -3.91298 0 -22.5765 0.0115172 0 4.03323 0 0 0 3.98204 0 1.22918 
0 0 -0.175343 4.94345 8.30379 -40.1286 0 0 0 0 0 0 -4.72773 0 -25.829 -4.17882 0 -16.7801 0 0 0 -0.279253 0 -0.0647577 -4.12521 0 -25.6719 0.207351 0 11.2908 0 0 0 4.20218 0 1.29583 
0 0 -0.176152 4.94345 8.30379 -40.1259 0 0 0 0 0 0 -4.72773 0 -25.8218 -4.17882 0 -16.7666 0 0 0 -0.279253 0 -0.0647577 -4.12521 0 -25.6474 0.207351 0 11.3081 0 0 0 4.20218 0 1.29583 
0 0 -0.176152 4.94345 8.30379 -40.1259 0 0 0 0 0 0 -4.72773 0 -25.8218 -4.17882 0 -16.7666 0 0 0 -0.279253 0 -0.0647577 -4.12521 0 -25.6474 0.207351 0 11.3081 0 0 0 4.20218 0 1.29583 
0 0 -0.320927 9.55812 8.50794 32.8714 0 0 0 0 0 0 -3.89581 0 -11.4318 -4.29998 0 -19.4139 0 0 0 -0.0377507 0 0.0158927 -4.2082 0 -23.8643 -0.0489487 0 2.73578 0 0 0 4.28834 0 1.3219 
0 0 -0.320822 9.55812 8.50794 32.871 0 0 0 0 0 0 -3.89581 0 -11.4328 -4.29998 0 -19.4159 0 0 0 -0.0377507 0 0.0158927 -4.2082 0 -23.8679 -0.0489487 0 2.73318 0 0 0 4.28834 0 1.3219 
0 0 -0.320822 9.55812 8.50794 32.871 0 0 0 0 0 0 -3.89581 0 -11.4328 -4.29998 0 -19.4159 0 0 0 -0.0377507 0 0.0158927 -4.2082 0 -23.8679 -0.0489487 0 2.73318 0 0 0 4.28834 0 1.3219 
0 0 -0.231476 5.75894 8.372 -36.1403 0 0 0 0 0 0 -4.43887 0 -22.9944 -3.96797 0 -13.8551 0 0 0 -0.202314 0 -0.0366285 -4.40427 0 -26.7655 0.118145 0 10.7317 0 0 0 4.49227 0 1.38347 
0 0 -0.232688 5.75894 8.372 -36.1362 0 0 0 0 0 0 -4.43887 0 -22.9837 -3.96797 0 -13.8349 0 0 0 -0.202314 0 -0.0366285 -4.40427 0 -26.7289 0.118145 0 10.7576 0 0 0 4.49227 0 1.38347 
