c1x c1z c2x c2z c3x c3z c4x c4z c5x c5z c6x c6z c7x c7z c8x c8z X Z vX vZ
0.155069 -0.057961 0.347562 -0.056314 0.157671 -0.361950 0.350164 -0.360303 -0.347521 -0.056351 -0.155028 -0.058054 -0.350211 -0.360339 -0.157718 -0.362042 -0.000009 -0.259550 -0.000006 -0.020845
0.155070 -0.057961 0.347563 -0.056314 0.157671 -0.361950 0.350164 -0.360303 -0.347521 -0.056351 -0.155028 -0.058054 -0.350211 -0.360339 -0.157718 -0.362042 -0.000009 -0.259550 0.000003 -0.022663
0.155070 -0.057961 0.347563 -0.056314 0.157671 -0.361950 0.350164 -0.360303 -0.347521 -0.056351 -0.155029 -0.058054 -0.350211 -0.360339 -0.157718 -0.362042 -0.000009 -0.259550 -0.000009 -0.024453
0.155070 -0.057961 0.347563 -0.056314 0.157671 -0.361950 0.350164 -0.360303 -0.346160 -0.056444 -0.153667 -0.058146 -0.348848 -0.360432 -0.156356 -0.362134 0.000672 -0.259596 0.004102 -0.026409
0.155070 -0.057961 0.347563 -0.056314 0.157671 -0.361950 0.350164 -0.360303 -0.346123 -0.055903 -0.153631 -0.057605 -0.348812 -0.359891 -0.156319 -0.361594 0.000691 -0.259326 0.000471 -0.026307
0.155070 -0.057961 0.347563 -0.056314 0.157671 -0.361950 0.350164 -0.360303 -0.342229 -0.056168 -0.149737 -0.057870 -0.344918 -0.360156 -0.152425 -0.361858 0.002638 -0.259458 0.012623 -0.029831
0.155069 -0.057962 0.347562 -0.056314 0.157671 -0.361950 0.350164 -0.360303 -0.342194 -0.055655 -0.149702 -0.057358 -0.344883 -0.359643 -0.152391 -0.361346 0.002655 -0.259202 0.002551 -0.029225
0.155069 -0.057962 0.347562 -0.056314 0.157672 -0.361950 0.350165 -0.360303 -0.338532 -0.055904 -0.146039 -0.057606 -0.341220 -0.359892 -0.148728 -0.361594 0.004486 -0.259326 0.015299 -0.034259
0.155069 -0.057962 0.347562 -0.056313 0.157672 -0.361951 0.350165 -0.360302 -0.338506 -0.055525 -0.146013 -0.057228 -0.341195 -0.359513 -0.148702 -0.361216 0.004499 -0.259137 0.007056 -0.033765
0.155068 -0.057962 0.347561 -0.056312 0.157673 -0.361951 0.350166 -0.360301 -0.334987 -0.055764 -0.142495 -0.057467 -0.337676 -0.359752 -0.145183 -0.361455 0.006259 -0.259256 0.020301 -0.037979
0.155067 -0.057963 0.347560 -0.056312 0.157674 -0.361951 0.350167 -0.360300 -0.334967 -0.055463 -0.142474 -0.057165 -0.337655 -0.359451 -0.145163 -0.361153 0.006269 -0.259105 0.013175 -0.037724
0.155066 -0.057963 0.347559 -0.056311 0.157675 -0.361952 0.350168 -0.360300 -0.331572 -0.055693 -0.139079 -0.057395 -0.334260 -0.359681 -0.141768 -0.361383 0.007967 -0.259220 0.026513 -0.042307
0.155065 -0.057964 0.347558 -0.056310 0.157676 -0.361953 0.350169 -0.360299 -0.331552 -0.055403 -0.139060 -0.057106 -0.334241 -0.359391 -0.141748 -0.361094 0.007977 -0.259075 0.020026 -0.042724
0.155064 -0.057965 0.347557 -0.056310 0.157677 -0.361954 0.350170 -0.360299 -0.328222 -0.055629 -0.135730 -0.057331 -0.330911 -0.359617 -0.138418 -0.361319 0.009642 -0.259188 0.033207 -0.047303
0.155064 -0.057965 0.347556 -0.056310 0.157678 -0.361954 0.350171 -0.360298 -0.328206 -0.055387 -0.135713 -0.057090 -0.330894 -0.359376 -0.138402 -0.361078 0.009651 -0.259067 0.026795 -0.049603
0.155063 -0.057966 0.347556 -0.056310 0.157679 -0.361955 0.350172 -0.360299 -0.324928 -0.055609 -0.132436 -0.057311 -0.327617 -0.359597 -0.135124 -0.361300 0.011289 -0.259178 0.039514 -0.053957
0.155063 -0.057966 0.347556 -0.056310 0.157679 -0.361955 0.350172 -0.360299 -0.324920 -0.055483 -0.132428 -0.057185 -0.327608 -0.359471 -0.135116 -0.361173 0.011294 -0.259115 0.032817 -0.055440
0.155063 -0.057967 0.347556 -0.056310 0.157679 -0.361955 0.350172 -0.360299 -0.321714 -0.055698 -0.129222 -0.057402 -0.324404 -0.359686 -0.131912 -0.361390 0.012896 -0.259223 0.044850 -0.058013
0.155063 -0.057967 0.347556 -0.056310 0.157679 -0.361956 0.350172 -0.360299 -0.321710 -0.055627 -0.129217 -0.057330 -0.324399 -0.359615 -0.131907 -0.361318 0.012899 -0.259187 0.037770 -0.058312
0.155063 -0.057967 0.347556 -0.056310 0.157679 -0.361956 0.350172 -0.360299 -0.318629 -0.055813 -0.126137 -0.057513 -0.321314 -0.359801 -0.128822 -0.361501 0.014440 -0.259280 0.048849 -0.059619
0.155063 -0.057966 0.347556 -0.056310 0.157680 -0.361955 0.350172 -0.360298 -0.318627 -0.055771 -0.126134 -0.057471 -0.321312 -0.359759 -0.128819 -0.361460 0.014442 -0.259259 0.041495 -0.059366
0.153284 -0.056236 0.345777 -0.054582 0.155896 -0.360224 0.348389 -0.358571 -0.315648 -0.055925 -0.123156 -0.057622 -0.318328 -0.359913 -0.125836 -0.361610 0.015042 -0.258471 0.046344 -0.056395
0.151917 -0.057645 0.344410 -0.055993 0.154526 -0.361634 0.347019 -0.359982 -0.315645 -0.055863 -0.123153 -0.057560 -0.318325 -0.359851 -0.125833 -0.361548 0.014359 -0.259145 0.039522 -0.067727
0.150262 -0.056039 0.342755 -0.054387 0.152870 -0.360028 0.345363 -0.358376 -0.312454 -0.056024 -0.119962 -0.057722 -0.315135 -0.360013 -0.122643 -0.361710 0.015126 -0.258423 0.047994 -0.061282
